month,year,month_num,region,category,segment,revenue,total_orders,total_units,pcogs,pcogs_pct,ops,total_discount_given,avg_discount_pct,total_profit,total_sales,profit_margin_pct,conversion_rate,successful_orders
2014-01,2014,1,Central,Furniture,Consumer,1160.98,2,12.0,1372.76,118.24,1288.01,127.03,23.33,-84.75,1288.01,-6.58,50.0,1
2014-01,2014,1,Central,Office Supplies,Consumer,215.1,4,36.0,217.12,100.94,275.85,60.75,18.75,58.74,275.85,21.29,100.0,4
2014-01,2014,1,Central,Office Supplies,Corporate,72.05,2,5.0,177.09,245.79,132.06,60.01,45.0,-45.03,132.06,-34.1,50.0,1
2014-01,2014,1,Central,Office Supplies,Home Office,228.33,1,8.0,354.05,155.06,288.06,59.74,40.0,-65.99,288.06,-22.91,100.0,1
2014-01,2014,1,Central,Technology,Consumer,724.89,2,10.0,539.4,74.41,731.13,6.24,10.0,191.73,731.13,26.22,100.0,2
2014-01,2014,1,East,Furniture,Consumer,395.52,3,11.0,435.44,110.09,471.04,75.52,11.67,35.61,471.04,7.56,100.0,3
2014-01,2014,1,East,Furniture,Home Office,75.24,1,6.0,39.99,53.15,75.24,0.0,0.0,35.25,75.24,46.85,100.0,1
2014-01,2014,1,East,Office Supplies,Consumer,1656.9,6,28.0,1412.22,85.23,1679.83,22.93,12.22,267.6,1679.83,15.93,83.33,5
2014-01,2014,1,East,Office Supplies,Corporate,12.78,1,3.0,7.54,59.0,12.78,0.0,0.0,5.24,12.78,41.0,100.0,1
2014-01,2014,1,East,Office Supplies,Home Office,526.04,1,13.0,508.37,96.64,526.04,0.0,0.0,17.67,526.04,3.36,100.0,1
2014-01,2014,1,East,Technology,Consumer,74.52,1,3.0,155.25,208.33,124.2,49.68,40.0,-31.05,124.2,-25.0,0.0,0
2014-01,2014,1,East,Technology,Home Office,343.33,1,15.0,290.7,84.67,343.33,0.0,0.0,52.63,343.33,15.33,100.0,1
2014-01,2014,1,South,Furniture,Consumer,565.24,2,8.0,472.1,83.52,565.24,0.0,0.0,93.14,565.24,16.48,100.0,2
