month,year,month_num,region,category,segment,total_orders,total_units,revenue,revenue_prev_month,revenue_mom_change,revenue_mom_pct,revenue_yoy_pct,pcogs,pcogs_mom_change,pcogs_mom_pct,pcogs_yoy_pct,ops,ops_mom_change,ops_mom_pct,ops_yoy_pct,profit_margin_pct,margin_mom_change,margin_yoy_change,conversion_rate,conversion_mom_change,conversion_yoy_change
2014-01,2014,1,Central,Furniture,Consumer,2.0,12.0,1160.98,,,,,1372.76,,,,1288.01,,,,-6.58,,,50.0,,
2014-01,2014,1,Central,Office Supplies,Consumer,4.0,36.0,215.1,,,,,217.12,,,,275.85,,,,21.29,,,100.0,,
2014-01,2014,1,Central,Office Supplies,Corporate,2.0,5.0,72.05,,,,,177.09,,,,132.06,,,,-34.1,,,50.0,,
2014-01,2014,1,Central,Office Supplies,Home Office,1.0,8.0,228.33,,,,,354.05,,,,288.06,,,,-22.91,,,100.0,,
2014-01,2014,1,Central,Technology,Consumer,2.0,10.0,724.89,,,,,539.4,,,,731.13,,,,26.22,,,100.0,,
2014-01,2014,1,East,Furniture,Consumer,3.0,11.0,395.52,,,,,435.44,,,,471.04,,,,7.56,,,100.0,,
2014-01,2014,1,East,Furniture,Home Office,1.0,6.0,75.24,,,,,39.99,,,,75.24,,,,46.85,,,100.0,,
2014-01,2014,1,East,Office Supplies,Consumer,6.0,28.0,1656.9,,,,,1412.22,,,,1679.83,,,,15.93,,,83.33,,
2014-01,2014,1,East,Office Supplies,Corporate,1.0,3.0,12.78,,,,,7.54,,,,12.78,,,,41.0,,,100.0,,
2014-01,2014,1,East,Office Supplies,Home Office,1.0,13.0,526.04,,,,,508.37,,,,526.04,,,,3.36,,,100.0,,
2014-01,2014,1,East,Technology,Consumer,1.0,3.0,74.52,,,,,155.25,,,,124.2,,,,-25.0,,,0.0,,
2014-01,2014,1,East,Technology,Home Office,1.0,15.0,343.33,,,,,290.7,,,,343.33,,,,15.33,,,100.0,,
2014-01,2014,1,South,Furniture,Consumer,2.0,8.0,565.24,,,,,472.1,,,,565.24,,,,16.48,,,100.0,,
2014-01,2014,1,South,Furniture,Corporate,2.0,3.0,193.9,,,,,132.85,,,,193.9,,,,31.48,,,100.0,,
2014-01,2014,1,South,Furniture,Home Office,1.0,9.0,2573.82,,,,,1827.41,,,,2573.82,,,,29.0,,,100.0,,
2014-01,2014,1,South,Office Supplies,Consumer,1.0,2.0,19.36,,,,,10.07,,,,19.36,,,,47.99,,,100.0,,
2014-01,2014,1,South,Office Supplies,Corporate,3.0,17.0,654.09,,,,,579.84,,,,654.09,,,,11.35,,,100.0,,
2014-01,2014,1,South,Office Supplies,Home Office,1.0,9.0,653.12,,,,,373.83,,,,653.12,,,,42.76,,,100.0,,
2014-01,2014,1,South,Technology,Consumer,1.0,5.0,149.95,,,,,83.97,,,,149.95,,,,44.0,,,100.0,,
2014-01,2014,1,South,Technology,Corporate,1.0,6.0,646.74,,,,,388.04,,,,646.74,,,,40.0,,,100.0,,
2014-01,2014,1,South,Technology,Home Office,1.0,6.0,1147.94,,,,,830.16,,,,1147.94,,,,27.68,,,100.0,,
2014-01,2014,1,West,Furniture,Consumer,5.0,17.0,852.03,,,,,1041.28,,,,1013.31,,,,-2.76,,,60.0,,
2014-01,2014,1,West,Furniture,Corporate,1.0,4.0,30.98,,,,,115.25,,,,61.96,,,,-86.01,,,0.0,,
2014-01,2014,1,West,Office Supplies,Consumer,6.0,48.0,566.11,,,,,422.01,,,,609.9,,,,30.81,,,83.33,,
2014-02,2014,2,Central,Furniture,Consumer,1.0,5.0,10.06,1160.98,-1150.92,-99.13,,36.48,-1336.28,-97.34,,25.16,-1262.85,-98.05,,-44.99,-38.41,,0.0,-50.0,
2014-02,2014,2,Central,Furniture,Corporate,1.0,4.0,20.32,,,,,13.41,,,,20.32,,,,34.01,,,100.0,,
2014-02,2014,2,Central,Office Supplies,Consumer,3.0,12.0,36.81,215.1,-178.29,-82.89,,50.86,-166.26,-76.58,,47.94,-227.91,-82.62,,-6.09,-27.38,,66.67,-33.33,
2014-02,2014,2,Central,Office Supplies,Corporate,1.0,5.0,17.09,72.05,-54.96,-76.28,,14.15,-162.94,-92.01,,21.36,-110.7,-83.83,,33.75,67.85,,100.0,50.0,
2014-02,2014,2,Central,Technology,Consumer,1.0,6.0,468.9,724.89,-255.99,-35.31,,262.58,-276.82,-51.32,,468.9,-262.23,-35.87,,44.0,17.78,,100.0,0.0,
2014-02,2014,2,Central,Technology,Corporate,1.0,3.0,62.31,,,,,39.88,,,,62.31,,,,36.0,,,100.0,,
2014-02,2014,2,East,Furniture,Consumer,1.0,4.0,393.83,395.52,-1.69,-0.43,,325.34,-110.1,-25.28,,393.83,-77.21,-16.39,,17.39,9.83,,100.0,0.0,
2014-02,2014,2,East,Furniture,Home Office,1.0,2.0,14.56,75.24,-60.68,-80.65,,9.03,-30.96,-77.42,,14.56,-60.68,-80.65,,37.98,-8.87,,100.0,0.0,
2014-02,2014,2,East,Office Supplies,Consumer,4.0,29.0,199.54,1656.9,-1457.36,-87.96,,182.38,-1229.84,-87.09,,220.78,-1459.05,-86.86,,17.39,1.46,,75.0,-8.33,
2014-02,2014,2,East,Office Supplies,Corporate,1.0,2.0,13.8,12.78,1.02,7.98,,11.21,3.67,48.67,,17.25,4.47,34.98,,35.01,-5.99,,100.0,0.0,
2014-02,2014,2,East,Office Supplies,Home Office,2.0,8.0,19.4,526.04,-506.64,-96.31,,22.63,-485.74,-95.55,,24.32,-501.72,-95.38,,6.99,3.63,,100.0,0.0,
2014-02,2014,2,East,Technology,Corporate,1.0,7.0,115.36,,,,,65.76,,,,115.36,,,,43.0,,,100.0,,
2014-02,2014,2,South,Furniture,Consumer,1.0,6.0,1256.22,565.24,690.98,122.25,,1180.85,708.75,150.13,,1256.22,690.98,122.25,,6.0,-10.48,,100.0,0.0,
2014-02,2014,2,South,Office Supplies,Consumer,2.0,9.0,62.0,19.36,42.64,220.25,,46.13,36.06,358.09,,73.13,53.77,277.74,,36.92,-11.07,,100.0,0.0,
2014-02,2014,2,South,Office Supplies,Corporate,2.0,8.0,79.96,654.09,-574.13,-87.78,,63.02,-516.82,-89.13,,79.96,-574.13,-87.78,,21.19,9.84,,100.0,0.0,
2014-02,2014,2,South,Technology,Consumer,1.0,3.0,234.45,149.95,84.5,56.35,,131.29,47.32,56.35,,234.45,84.5,56.35,,44.0,0.0,,100.0,0.0,
2014-02,2014,2,South,Technology,Corporate,1.0,6.0,306.56,646.74,-340.18,-52.6,,222.5,-165.54,-42.66,,306.56,-340.18,-52.6,,27.42,-12.58,,100.0,0.0,
2014-02,2014,2,West,Furniture,Consumer,1.0,2.0,103.65,852.03,-748.38,-87.83,,153.86,-887.42,-85.22,,129.57,-883.74,-87.21,,-18.75,-15.99,,0.0,-60.0,
2014-02,2014,2,West,Office Supplies,Consumer,4.0,14.0,95.06,566.11,-471.05,-83.21,,133.83,-288.18,-68.29,,136.92,-472.98,-77.55,,2.26,-28.55,,25.0,-58.33,
2014-02,2014,2,West,Office Supplies,Corporate,1.0,4.0,320.58,,,,,292.86,,,,320.58,,,,8.65,,,100.0,,
2014-02,2014,2,West,Office Supplies,Home Office,2.0,12.0,112.91,,,,,78.58,,,,129.49,,,,39.32,,,100.0,,
2014-02,2014,2,West,Technology,Consumer,1.0,5.0,144.77,,,,,167.39,,,,180.96,,,,7.5,,,100.0,,
2014-02,2014,2,West,Technology,Corporate,1.0,3.0,239.97,,,,,153.58,,,,239.97,,,,36.0,,,100.0,,
2014-03,2014,3,Central,Furniture,Corporate,2.0,14.0,754.61,20.32,734.29,3613.63,,860.39,846.98,6316.03,,943.28,922.96,4542.13,,8.79,-25.22,,100.0,0.0,
2014-03,2014,3,Central,Furniture,Home Office,1.0,6.0,443.88,,,,,806.23,,,,634.12,,,,-27.14,,,0.0,,
2014-03,2014,3,Central,Office Supplies,Consumer,8.0,36.0,1498.27,36.81,1461.46,3970.28,,1859.22,1808.36,3555.56,,1780.91,1732.97,3614.87,,-4.4,1.69,,75.0,8.33,
2014-03,2014,3,Central,Office Supplies,Corporate,6.0,40.0,440.78,17.09,423.69,2479.17,,440.8,426.65,3015.19,,497.88,476.52,2230.9,,11.46,-22.29,,100.0,0.0,
2014-03,2014,3,Central,Office Supplies,Home Office,3.0,11.0,93.58,228.33,-134.75,-59.02,,76.79,-277.26,-78.31,,116.98,-171.08,-59.39,,34.36,57.27,,100.0,0.0,
2014-03,2014,3,Central,Technology,Consumer,3.0,12.0,593.27,468.9,124.37,26.52,,662.5,399.92,152.3,,730.22,261.32,55.73,,9.27,-34.73,,100.0,0.0,
2014-03,2014,3,Central,Technology,Corporate,2.0,8.0,516.33,62.31,454.02,728.65,,531.74,491.86,1233.35,,645.42,583.11,935.82,,17.61,-18.39,,100.0,0.0,
2014-03,2014,3,Central,Technology,Home Office,1.0,2.0,402.44,,,,,418.86,,,,574.91,,,,27.14,,,100.0,,
2014-03,2014,3,East,Furniture,Consumer,4.0,17.0,1135.18,393.83,741.35,188.24,,1568.93,1243.59,382.24,,1471.61,1077.78,273.67,,-6.61,-24.0,,50.0,-50.0,
2014-03,2014,3,East,Furniture,Corporate,1.0,14.0,1959.14,,,,,4389.25,,,,3265.23,,,,-34.42,,,0.0,,
2014-03,2014,3,East,Furniture,Home Office,2.0,9.0,200.11,14.56,185.55,1274.38,,232.97,223.94,2479.96,,238.3,223.74,1536.68,,2.24,-35.74,,50.0,-50.0,
2014-03,2014,3,East,Office Supplies,Consumer,7.0,42.0,854.83,199.54,655.29,328.4,,921.51,739.13,405.27,,1020.46,799.68,362.21,,9.69,-7.7,,100.0,25.0,
